temperature,humidity,sampledate
25.49028001150582,45.73231566082555,2023-07-13 13:22:44.088716
25.49028001150582,45.74366429171487,2023-07-13 13:22:44.117542
25.419491521362215,45.81650329743122,2023-07-13 13:22:49.165238
25.37904098117724,47.6647952884689,2023-07-13 13:22:54.216485
25.318365205824374,48.84834746389733,2023-07-13 13:22:59.248845
25.252633163152495,50.50114203349896,2023-07-13 13:23:04.299915
25.18690116966609,50.92991357173211,2023-07-13 13:23:09.333450
25.13128182897926,50.03397122381774,2023-07-13 13:23:14.381181
25.0503810326627,49.403645393863755,2023-07-13 13:23:19.414689
24.98970548431971,50.21756475944542,2023-07-13 13:23:24.465870
24.929029977886238,50.63495675326985,2023-07-13 13:23:29.517210
24.90374852924142,51.55093690521107,2023-07-13 13:23:34.558592
24.843073082179764,51.47581712372906,2023-07-13 13:23:39.609374
24.757116270583357,50.60818649914457,2023-07-13 13:23:44.643013
24.721722313784994,50.31318533746926,2023-07-13 13:23:49.676324
24.645878168666968,50.58288322995227,2023-07-13 13:23:54.725496
24.610484256688505,52.33465661576108,2023-07-13 13:23:59.756290
24.600371713028288,53.701892053075234,2023-07-13 13:24:04.800611
24.60542798471288,55.14244862849904,2023-07-13 13:24:09.841006
24.600371713028288,56.37317612864462,2023-07-13 13:24:14.874553
24.625653074361615,57.48611693711914,2023-07-13 13:24:19.923887
24.640821894654074,58.479906613222916,2023-07-13 13:24:24.971312
24.67115954309702,59.53618778389351,2023-07-13 13:24:30.024285
24.69138464787975,60.51286001012644,2023-07-13 13:24:35.059519
24.7065534795227,61.257923209617125,2023-07-13 13:24:40.107609
24.73183487141505,62.03156040875741,2023-07-13 13:24:45.141093
24.7722851135768,62.96370940261801,2023-07-13 13:24:50.174340
24.807679090747843,63.78278811138238,2023-07-13 13:24:55.207599
24.838016796816373,64.52263281323513,2023-07-13 13:25:00.254440
24.873410800471902,65.23453168845472,2023-07-13 13:25:05.287493
24.913861107826232,65.82275200218078,2023-07-13 13:25:10.330174
24.9239736875752,66.40917986661833,2023-07-13 13:25:15.371235
24.98970548431971,67.11717404506673,2023-07-13 13:25:20.405872
25.035212141647936,67.68880330112206,2023-07-13 13:25:25.439231
25.065549926296807,68.20880957655513,2023-07-13 13:25:30.481464
25.11611292399466,68.62311088966531,2023-07-13 13:25:35.514806
25.13128182897926,69.00700235503473,2023-07-13 13:25:40.565808
25.19195747511112,69.44454236208333,2023-07-13 13:25:45.599292
25.22735162137542,69.88608569715467,2023-07-13 13:25:50.650364
25.272858401812847,70.23260565207194,2023-07-13 13:25:55.684011
25.308252580673432,70.69107641181672,2023-07-13 13:26:00.733183
25.343646773794898,71.09888628186692,2023-07-13 13:26:05.763719
25.384097297681727,71.50706533260508,2023-07-13 13:26:10.797071
25.43466047873371,71.87094771778969,2023-07-13 13:26:15.844153
25.480167366564274,72.25702735695762,2023-07-13 13:26:20.895268
25.520617953315377,72.55832607559029,2023-07-13 13:26:25.937886
25.550955905602315,72.85328178161794,2023-07-13 13:26:30.986832
25.586350196512647,73.16551265893465,2023-07-13 13:26:36.027129
25.641969825327397,73.41171070690028,2023-07-13 13:26:41.078378
25.692533154808917,73.6688315286456,2023-07-13 13:26:46.129609
25.717814830463613,73.91282285900445,2023-07-13 13:26:51.181644
25.753209188603797,74.11255031469369,2023-07-13 13:26:56.233158
25.798716241453075,74.28491531945325,2023-07-13 13:27:01.281112
25.839166974887483,74.496332272438,2023-07-13 13:27:06.314587
25.8947867637733,74.73146490112045,2023-07-13 13:27:11.362363
25.94029388996423,74.8475988092914,2023-07-13 13:27:16.395852
25.96557563692331,75.05228294980789,2023-07-13 13:27:21.446986
26.016139152669346,75.2082699035822,2023-07-13 13:27:26.498285
26.046477276086808,75.17121409861605,2023-07-13 13:27:31.545212
26.09198448085808,75.29867644855743,2023-07-13 13:27:36.596538
26.14254806936369,75.43782069689831,2023-07-13 13:27:41.647806
26.19816805033479,75.50415393699582,2023-07-13 13:27:46.679490
26.248731699958444,75.50249447780175,2023-07-13 13:27:51.730543
26.274013535684208,75.50448105985481,2023-07-13 13:27:56.764107
26.309408117923887,75.55233968341035,2023-07-13 13:28:01.802825
26.354915458901086,75.5390129771859,2023-07-13 13:28:06.853997
26.385253699315946,75.5695756594484,2023-07-13 13:28:11.887619
26.430761079583316,75.55060973807268,2023-07-13 13:28:16.928692
26.47121210405603,75.50869418280655,2023-07-13 13:28:21.977203
26.511663147155197,75.35401986693519,2023-07-13 13:28:27.010753
26.552114208880813,75.21058593117144,2023-07-13 13:28:32.061825
26.58750890317024,75.01597581532363,2023-07-13 13:28:37.095415
26.607734449167037,74.7524798845563,2023-07-13 13:28:42.146426
26.658298334531718,74.57021982282437,2023-07-13 13:28:47.197620
26.693693071603775,74.42624622539746,2023-07-13 13:28:52.248809
26.739200611651178,74.15887602277735,2023-07-13 13:28:57.300018
26.759426192572572,73.75974437706,2023-07-13 13:29:02.351262
26.799877368385204,73.54263721305252,2023-07-13 13:29:07.402418
26.825159362726843,73.36952064515009,2023-07-13 13:29:12.453548
26.86055416702875,73.08420119547813,2023-07-13 13:29:17.498249
26.89594898559153,72.7705778610973,2023-07-13 13:29:22.549380
26.936400224268436,72.49112278811162,2023-07-13 13:29:27.600563
26.966738665499726,72.21652431139965,2023-07-13 13:29:32.651923
27.00718993677292,71.95387559471601,2023-07-13 13:29:37.685532
27.0223591683025,71.69504507007233,2023-07-13 13:29:42.733329
27.072923292318592,71.45557844284407,2023-07-13 13:29:47.766778
27.098205365240574,71.23125936438315,2023-07-13 13:29:52.818123
27.128543862351215,70.98463356923924,2023-07-13 13:29:57.851621
27.163938788889208,70.70437576729117,2023-07-13 13:30:02.884896
27.19427730870084,70.44067484390936,2023-07-13 13:30:07.915999
27.23978510806337,70.18923327108365,2023-07-13 13:30:12.963813
27.260010804235936,69.96433912512273,2023-07-13 13:30:17.997220
27.31057506504003,69.74139000305419,2023-07-13 13:30:23.048261
27.325744348956505,69.5047663981192,2023-07-13 13:30:28.099566
27.366195785539457,69.25841623334946,2023-07-13 13:30:33.147946
27.401590807829052,69.05129679629906,2023-07-13 13:30:38.181455
27.416760107461595,68.8485120553804,2023-07-13 13:30:43.234904
27.452155150123872,68.69791722246178,2023-07-13 13:30:48.268440
27.44709871458472,68.48815189383684,2023-07-13 13:30:53.319562
27.426872975338483,67.80187909370972,2023-07-13 13:30:58.353053
